;Tourist_Spot;Address;Zipcode;Lat;Long;Rating
0;47th Street - The Diamond District;47th St. betw. Fifth & Sixth Aves. Manhattan, NY 10036, Midtown West;10036;40.7573441;-73.98044569999999;5.0
1;9/11 Memorial & Museum;World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan;10007;40.7114147;-74.0124786;4.8
2;Abyssinian Baptist Church;132 Odell Clark Place New York, NY 10030, Harlem;10030;40.8166794;-73.94145;0.0
3;Alice Austen House Museum;2 Hylan Blvd. Staten Island, NY 10305, Staten Island;10305;40.6152028;-74.06307050000001;4.6
4;Alice Tully Hall;1941 Broadway Manhattan, NY 10023, Upper West Side;10023;40.7735005;-73.9827897;4.8
5;Alvin Ailey American Dance Theate;405 W. 55th St. Manhattan, NY 10019, Midtown West;10019;40.7668755;-73.98691529999999;4.5
6;American Girl Place;609 Fifth Ave. Manhattan, NY 10017, Midtown East;10017;40.7600073;-73.9779319;4.5
7;American Museum of Natural History;Central Park West at 79th St. Manhattan, NY 10024, Upper West Side;10024;40.7813241;-73.9739882;4.6
8;Apollo Theater;253 W. 125th St.  Manhattan, NY 10027, Harlem;10027;40.810018;-73.95005600000002;4.6
9;arts>Brookfield Place;230 Vesey St. Manhattan, NY 10281, Battery Park City;10281;40.7145625;-74.01615249999999;5.0
10;Barclays Center;620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights;11217;40.6826465;-73.97541559999999;4.5
11;Bartow-Pell Mansion Museum;895 Shore Rd. Bronx, NY 10464, Pelham Bay;10464;40.8717842;-73.8055573;4.6
12;Bateaux New York;Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea;10011;40.7475756;-74.0092964;4.5
13;Bronx Brewery;856 East 136th Street NY 10454, South Bronx;10454;40.8019185;-73.9105843;4.3
14;Bronx Library Center;310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham;10458;40.8630503;-73.8943939;4.3
15;Bronx Zoo;2300 Southern Blvd. Bronx, NY 10460, Fordham;10460;40.8505949;-73.8769982;4.6
16;Brooklyn Botanic Garden;1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights;11225;40.6685798;-73.9644696;4.6
17;Brooklyn Bridge;Tillary St Brooklyn, NY 11201,Downtown Brooklyn;11201;40.6916598;-73.98574339999999;4.5
18;Brooklyn Heights Promenade;Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights;11201;40.6961936;-73.9975036;4.8
19;Brooklyn Historical Society;128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights;11201;40.69480180000001;-73.9924157;4.6
20;Brooklyn Navy Yard;63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard;11205;40.698841;-73.9786453;4.5
21;Brooklyn Nets;The Barclays Center, 620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights;11217;40.6826465;-73.97541559999999;4.5
22;Brooklyn Public Library;Grand Army Plaza at Flatbush Ave Brooklyn, NY 11238, Park Slope;11238;40.67251110000001;-73.9682;4.6
